,,BÁO CÁO K?T QU? HO?T ??NG ,,,,,,,,,,,,,
,,K? báo cáo: ,,,Tính theo nhóm KP hay nam/n?/TG?,,,,,Lo?i báo cáo,,,,,
,#,Thông tin báo cáo,,T?ng,PUD,PLHIV,TG,SW,MSM,Tháng,Quý,6T,12T,Ngu?n s? li?u,Notes
,I,THÔNG TIN CHUNG,,,,,,,,,,,,,
,1,T?ng s? KH ???c ch?m sóc t? ??u d? án,,100,43,0,0,29,28,,x,x,x,"D? li?u t? các bi?u m?u
(KH nh?n b?t c? d?ch v? gì)",
,2,T?ng s? KH ???c ch?m sóc trong k? báo cáo,,100,43,0,0,29,28,x,x,x,x,"D? li?u t? các bi?u m?u
(KH nh?n b?t c? d?ch v? gì)",
,3,S? KH m?t d?u trong k? báo cáo,,0,0,0,0,0,0,,x,x,x,D? li?u t? bi?u m?u theo d?u KH,Ghi nh?n nh?ng KH ???c tính là m?t d?u và ???c nh?p li?u trên Redcap
,II,HO?T ??NG TRUY?N THÔNG,,,,,,,,,,,,,
,1,S? KH ???c tham gia truy?n thông l?n 1,,97,43,0,0,29,25,x,x,x,x,D? li?u t? bi?u m?u truy?n thông,
,2,S? KH ???c tham gia truy?n thông l?n 2,,0,0,0,0,0,0,x,x,x,x,,
,3,T?ng s? l??t KH tham gia truy?n thông,,97,43,0,0,29,25,x,x,x,x,,
,III,"SÀNG L?C B?NG H?I QST VÀ CHUY?N G?I KHÁM, ?I?U TR? SKTT",,,,,,,,,,,,D? li?u t? b?ng h?i QST,
,1,S? KH ???c sàng l?c b?ng h?i QST l?n 1,,88,43,0,0,21,24,x,x,x,x,,
,,K?t qu? sàng l?c QST l?n ??u,M?c 1 (>=8),33,9,0,0,10,14,x,x,x,x,,
,,,M?c 2 (6 - 7),11,1,0,0,6,4,x,x,x,x,,
,,,M?c 3 (4 - 5),24,13,0,0,5,6,x,x,x,x,,
,,,M?c 4 (<4),20,20,0,0,0,0,x,x,x,x,,
,2,S? KH ???c sàng l?c l?i b?ng h?i QST (t? l?n 2 tr? ?i),,0,0,0,0,0,0,x,x,x,x,D? li?u t? b?ng h?i l?i QST,
,,K?t qu? sàng l?c l?i QST,M?c 1 (>=8),0,0,0,0,0,0,x,x,x,x,,
,,,M?c 2 (6 - 7),0,0,0,0,0,0,x,x,x,x,,
,,,M?c 3 (4 - 5),0,0,0,0,0,0,x,x,x,x,,
,,,M?c 4 (<4),0,0,0,0,0,0,x,x,x,x,,
